name,tdp
AMD Athlon 64 FX-62 Dual Core,125.0
AMD Athlon 64 FX-74,125.0
AMD Athlon 64 X2 3800+,89.0
AMD Athlon 64 X2 Dual Core 3400+,89.0
AMD Athlon 64 X2 Dual Core 3600+,65.0
AMD Athlon 64 X2 Dual Core 3800+,89.0
AMD Athlon 64 X2 Dual Core 4000+,65.0
AMD Athlon 64 X2 Dual Core 4200+,89.0
AMD Athlon 64 X2 Dual Core 4400+,65.0
AMD Athlon 64 X2 Dual Core 4600+,65.0
AMD Athlon 64 X2 Dual Core 4800+,65.0
AMD Athlon 64 X2 Dual Core 5000+,65.0
AMD Athlon 64 X2 Dual Core 5200+,65.0
AMD Athlon 64 X2 Dual Core 5400+,65.0
AMD Athlon 64 X2 Dual Core 5600+,89.0
AMD Athlon 64 X2 Dual Core 5800+,89.0
AMD Athlon 64 X2 Dual Core 6000+,89.0
AMD Athlon 64 X2 Dual Core 6400+,125.0
AMD Athlon 64 X2 Dual Core BE-2300,45.0
AMD Athlon 64 X2 Dual Core BE-2350,45.0
AMD Athlon 64 X2 Dual-Core TK-42,20.0
AMD Athlon 64 X2 Dual-Core TK-53,31.0
AMD Athlon 64 X2 Dual-Core TK-55,35.0
AMD Athlon 64 X2 Dual-Core TK-57,31.0
AMD Athlon 64 X2 QL-60,35.0
AMD Athlon 64 X2 QL-62,35.0
AMD Athlon 64 X2 QL-64,35.0
AMD Athlon 64 X2 QL-65,35.0
AMD Athlon 64 X2 QL-66,35.0
AMD Athlon 64 X2 QL-67,35.0
AMD Athlon 7450 Dual-Core,95.0
AMD Athlon 7550 Dual-Core,95.0
AMD Athlon 7750 Dual-Core,95.0
AMD Athlon 7850 Dual-Core,95.0
AMD Athlon Dual Core 4050e,45.0
AMD Athlon Dual Core 4450B,45.0
AMD Athlon Dual Core 4450e,45.0
AMD Athlon Dual Core 4850B,45.0
AMD Athlon Dual Core 4850e,45.0
AMD Athlon Dual Core 5000B,65.0
AMD Athlon Dual Core 5050e,45.0
AMD Athlon Dual Core 5200B,65.0
AMD Athlon Dual Core 5400B,65.0
AMD Athlon Dual Core 5600B,65.0
AMD Athlon Gold 3150C,15.0
AMD Athlon Gold 3150G,65.0
AMD Athlon Gold 3150U,15.0
AMD Athlon Gold PRO 3150G,65.0
AMD Athlon Gold PRO 3150GE,35.0
AMD Athlon Gold PRO 4150GE,35.0
AMD Athlon II 160u,20.0
AMD Athlon II 170u,20.0
AMD Athlon II Dual-Core M300,35.0
AMD Athlon II Dual-Core M320,35.0
AMD Athlon II Dual-Core M340,35.0
AMD Athlon II N330 Dual-Core,35.0
AMD Athlon II N350 Dual-Core,35.0
AMD Athlon II N370 Dual-Core,35.0
AMD Athlon II Neo K125,12.0
AMD Athlon II Neo K145,12.0
AMD Athlon II Neo K325 Dual-Core,12.0
AMD Athlon II Neo K345 Dual-Core,12.0
AMD Athlon II Neo N36L Dual-Core,12.0
AMD Athlon II P320 Dual-Core,25.0
AMD Athlon II P340 Dual-Core,25.0
AMD Athlon II P360 Dual-Core,25.0
AMD Athlon II X2 210e,45.0
AMD Athlon II X2 215,65.0
AMD Athlon II X2 220,65.0
AMD Athlon II X2 235e,45.0
AMD Athlon II X2 240,65.0
AMD Athlon II X2 240e,45.0
AMD Athlon II X2 245,65.0
AMD Athlon II X2 245e,45.0
AMD Athlon II X2 250,65.0
AMD Athlon II X2 250e,45.0
AMD Athlon II X2 250u,25.0
AMD Athlon II X2 255,65.0
AMD Athlon II X2 260,65.0
AMD Athlon II X2 260u,25.0
AMD Athlon II X2 265,65.0
AMD Athlon II X2 270,65.0
AMD Athlon II X2 270u,25.0
AMD Athlon II X2 280,65.0
AMD Athlon II X2 4300e,13.0
AMD Athlon II X2 4400e,37.0
AMD Athlon II X2 4450e,45.0
AMD Athlon II X2 B22,65.0
AMD Athlon II X2 B24,65.0
AMD Athlon II X2 B26,65.0
AMD Athlon II X2 B28,65.0
AMD Athlon II X3 400e,45.0
AMD Athlon II X3 405e,45.0
AMD Athlon II X3 415e,45.0
AMD Athlon II X3 420e,45.0
AMD Athlon II X3 425,95.0
AMD Athlon II X3 435,95.0
AMD Athlon II X3 440,95.0
AMD Athlon II X3 445,95.0
AMD Athlon II X3 450,95.0
AMD Athlon II X3 455,95.0
